ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,1,0,0,1,0,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,,,,,,5,2015,2,Butaleja
,,,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,0,,,,,3,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,,0,,,,,8,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,1,0,1,0,0,3,2015,2,Butaleja
,1,1,0,0,1,0,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,8,2015,2,Butaleja
,1,1,1,0,0,0,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,1,0,1,0,0,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,.s,0,,,,,9,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,1,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,.s,1,0,0,1,0,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,6,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,,1,1,1,0,0,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,1,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,1,1,0,0,0,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,,,,,,,8,2015,2,Butaleja
,,,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,,,,,,,4,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,1,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,0,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,0,1,0,1,0,0,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,1,1,1,0,0,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,1,1,0,0,0,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,1,1,0,0,0,3,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,1,1,1,1,0,0,3,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,8,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,1,2012,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,1,2012,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,1,2012,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,1,2012,2,Butaleja
,1,0,,,,,1,2012,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,10,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,.s,0,,,,,9,2015,2,Butaleja
,,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,7,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,6,2015,2,Butaleja
,1,0,,,,,5,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,,,,,,,7,2015,2,Butaleja
,,0,,,,,9,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,9,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,7,2015,2,Butaleja
,1,0,,,,,4,2015,2,Butaleja
