ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,3,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,.s,.s,,,,,10,2015,2,MFW
,Yes,No,,,,,10,2015,2,MFW
,Yes,No,,,,,10,2015,2,MFW
,Yes,No,,,,,11,2015,2,MFW
,Yes,No,,,,,11,2015,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,Yes,No,,,,,8,2015,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
,.s,.s,,,,,2,2014,2,MFW
