id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 2,0,0,0,0,0,1,0,3,3,9,,1,3,1,2014
,Zomba 1_2,0,0,0,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2013
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2013
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2013
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,1,0,0,1,0,1,1,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,2,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
