ID,cem301_attendees_total,cem011 prgrm,month,year
,54,Butaleja,1,2015
,23,Butaleja,12,2014
,20,Butaleja,1,2015
,62,Butaleja,12,2014
,49,Butaleja,2,2015
,59,Butaleja,12,2014
,38,Butaleja,1,2015
,31,Butaleja,1,2015
,47,Butaleja,1,2015
,32,Butaleja,12,2014
,31,Butaleja,2,2015
,34,Butaleja,12,2014
,36,Butaleja,2,2015
,41,Butaleja,2,2015
,54,Butaleja,1,2015
,20,Butaleja,12,2014
,28,Butaleja,12,2014
,45,Butaleja,12,2014
,23,Butaleja,2,2015
,74,Butaleja,12,2014
,40,Butaleja,12,2014
,40,Butaleja,2,2015
,32,Butaleja,12,2014
,46,Butaleja,12,2014
,29,Butaleja,1,2015
,67,Butaleja,1,2015
,45,Butaleja,2,2015
,51,Butaleja,1,2015
,53,Butaleja,12,2014
,57,Butaleja,1,2015
,52,Butaleja,12,2014
,85,Butaleja,1,2015
,30,Butaleja,1,2015
,32,Butaleja,12,2014
,55,Butaleja,12,2014
,44,Butaleja,12,2014
,62,Butaleja,1,2015
,37,Butaleja,2,2015
,50,Butaleja,12,2014
,39,Butaleja,1,2015
,43,Butaleja,12,2014
,43,Butaleja,1,2015
,29,Butaleja,2,2015
,34,Butaleja,2,2015
,34,Butaleja,2,2015
,34,Butaleja,2,2015
,26,Butaleja,2,2015
,34,Butaleja,2,2015
,44,Butaleja,1,2015
,41,Butaleja,2,2015
,18,Butaleja,1,2015
,51,Butaleja,2,2015
,42,Butaleja,12,2014
,52,Butaleja,12,2014
,35,Butaleja,1,2015
,25,Butaleja,12,2014
,22,Butaleja,2,2015
,56,Butaleja,2,2015
,58,Butaleja,2,2015
,25,Butaleja,12,2014
,40,Butaleja,1,2015
,33,Butaleja,2,2015
,60,Butaleja,1,2015
,34,Butaleja,12,2014
,43,Butaleja,1,2015
,18,Butaleja,12,2014
,48,Butaleja,2,2015
,28,Butaleja,12,2014
,25,Butaleja,1,2015
,38,Butaleja,1,2015
,27,Butaleja,2,2015
,22,Butaleja,1,2015
,34,Butaleja,1,2015
,45,Butaleja,12,2014
,41,Butaleja,1,2015
,38,Butaleja,2,2015
,26,Butaleja,2,2015
,15,Butaleja,2,2015
,50,Butaleja,12,2014
,43,Butaleja,12,2014
,68,Butaleja,12,2014
,33,Butaleja,2,2015
,46,Butaleja,12,2014
,108,Butaleja,1,2015
,28,Butaleja,1,2015
,27,Butaleja,12,2014
,33,Butaleja,12,2014
,41,Butaleja,12,2014
,22,Butaleja,2,2015
,43,Butaleja,2,2015
,36,Butaleja,1,2015
,27,Butaleja,1,2015
,30,Butaleja,2,2015
,34,Butaleja,12,2014
,23,Butaleja,2,2015
,28,Butaleja,12,2014
,26,Butaleja,12,2014
,51,Butaleja,1,2015
,41,Butaleja,1,2015
,22,Butaleja,2,2015
,45,Butaleja,1,2015
,24,Butaleja,12,2014
,36,Butaleja,12,2014
,22,Butaleja,2,2015
,37,Butaleja,1,2015
,46,Butaleja,1,2015
,44,Butaleja,1,2015
,68,Butaleja,12,2014
,51,Butaleja,2,2015
,51,Butaleja,1,2015
,55,Butaleja,1,2015
,25,Butaleja,2,2015
,31,Butaleja,2,2015
,26,Butaleja,1,2015
,29,Butaleja,12,2014
,20,Butaleja,2,2015
,45,Butaleja,2,2015
,20,Butaleja,2,2015
,37,Butaleja,2,2015
,47,Butaleja,2,2015
,34,Butaleja,12,2014
,28,Butaleja,1,2015
,23,Butaleja,2,2015
,34,Butaleja,1,2015
,28,Butaleja,1,2015
,32,Butaleja,12,2014
,27,Butaleja,2,2015
,27,Butaleja,2,2015
,43,Butaleja,2,2015
,60,Butaleja,12,2014
,24,Butaleja,2,2015
,72,Butaleja,12,2014
,51,Butaleja,1,2015
,37,Butaleja,1,2015
,27,Butaleja,1,2015
,48,Butaleja,1,2015
,40,Butaleja,2,2015
,41,Butaleja,12,2014
,40,Butaleja,2,2015
,27,Butaleja,1,2015
,30,Butaleja,2,2015
,80,Butaleja,12,2014
,40,Butaleja,1,2015
,35,Butaleja,12,2014
,37,Butaleja,2,2015
,37,Butaleja,1,2015
,36,Butaleja,2,2015
,59,Butaleja,1,2015
,42,Butaleja,12,2014
,43,Butaleja,1,2015
,24,Butaleja,12,2014
,29,Butaleja,12,2014
,18,Butaleja,2,2015
,46,Butaleja,2,2015
,35,Butaleja,2,2015
