id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,40,One Acre Fund,9,2014,1
,30,One Acre Fund,10,2014,1
,27,One Acre Fund,11,2014,1
,29,One Acre Fund,9,2014,1
,33,One Acre Fund,11,2014,1
,28,One Acre Fund,9,2014,1
,27,One Acre Fund,10,2014,1
,28,One Acre Fund,8,2014,1
,45,One Acre Fund,8,2014,1
,31,One Acre Fund,10,2014,1
,35,One Acre Fund,10,2014,1
,43,One Acre Fund,9,2014,1
,43,One Acre Fund,8,2014,1
,30,One Acre Fund,10,2014,1
,40,One Acre Fund,9,2014,1
,43,One Acre Fund,9,2014,1
,29,One Acre Fund,9,2014,1
,27,One Acre Fund,11,2014,1
,73,One Acre Fund,9,2014,1
,24,One Acre Fund,1,2015,1
,44,One Acre Fund,1,2015,1
,34,One Acre Fund,9,2014,1
,31,One Acre Fund,10,2014,1
,32,One Acre Fund,8,2014,1
,41,One Acre Fund,8,2014,1
,44,One Acre Fund,8,2014,1
,63,One Acre Fund,10,2014,1
,29,One Acre Fund,10,2014,1
,28,One Acre Fund,9,2014,1
,34,One Acre Fund,9,2014,1
,28,One Acre Fund,8,2014,1
,45,One Acre Fund,9,2014,1
,37,One Acre Fund,8,2014,1
,31,One Acre Fund,9,2014,1
,29,One Acre Fund,8,2014,1
,23,One Acre Fund,1,2015,1
,40,One Acre Fund,1,2015,1
,39,One Acre Fund,10,2014,1
,30,One Acre Fund,9,2014,1
,32,One Acre Fund,9,2014,1
,40,One Acre Fund,10,2014,1
,38,One Acre Fund,10,2014,1
,37,One Acre Fund,9,2014,1
,28,One Acre Fund,10,2014,1
,27,One Acre Fund,12,2014,1
,26,One Acre Fund,1,2015,1
,45,One Acre Fund,9,2014,1
,32,One Acre Fund,10,2014,1
,30,One Acre Fund,10,2014,1
,28,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,53,One Acre Fund,9,2014,1
,37,One Acre Fund,8,2014,1
,40,One Acre Fund,8,2014,1
,39,One Acre Fund,8,2014,1
,25,One Acre Fund,11,2014,1
,41,One Acre Fund,9,2014,1
,32,One Acre Fund,1,2015,1
,40,One Acre Fund,9,2014,1
,27,One Acre Fund,10,2014,1
,47,One Acre Fund,1,2015,1
,32,One Acre Fund,1,2015,1
,36,One Acre Fund,10,2014,1
,31,One Acre Fund,11,2014,1
,31,One Acre Fund,9,2014,1
,35,One Acre Fund,9,2014,1
,31,One Acre Fund,10,2014,1
,27,One Acre Fund,9,2014,1
,35,One Acre Fund,10,2014,1
,30,One Acre Fund,8,2014,1
,38,One Acre Fund,8,2014,1
,49,One Acre Fund,8,2014,1
,32,One Acre Fund,9,2014,1
,36,One Acre Fund,8,2014,1
,32,One Acre Fund,10,2014,1
,33,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,41,One Acre Fund,1,2015,1
,32,One Acre Fund,9,2014,1
,32,One Acre Fund,9,2014,1
,27,One Acre Fund,9,2014,1
,27,One Acre Fund,11,2014,1
,25,One Acre Fund,9,2014,1
,27,One Acre Fund,9,2014,1
,21,One Acre Fund,1,2015,1
,34,One Acre Fund,9,2014,1
,41,One Acre Fund,1,2015,1
,36,One Acre Fund,9,2014,1
,34,One Acre Fund,10,2014,1
,36,One Acre Fund,10,2014,1
,33,One Acre Fund,9,2014,1
,35,One Acre Fund,10,2014,1
,31,One Acre Fund,9,2014,1
,45,One Acre Fund,1,2015,1
,43,One Acre Fund,1,2015,1
,31,One Acre Fund,10,2014,1
,26,One Acre Fund,11,2014,1
,33,One Acre Fund,8,2014,1
,36,One Acre Fund,10,2014,1
,40,One Acre Fund,1,2015,1
,45,One Acre Fund,10,2014,1
,32,One Acre Fund,8,2014,1
,27,One Acre Fund,9,2014,1
,36,One Acre Fund,1,2015,1
,35,One Acre Fund,1,2015,1
,35,One Acre Fund,1,2015,1
,34,One Acre Fund,1,2015,1
,32,One Acre Fund,11,2014,1
,27,One Acre Fund,9,2014,1
,50,One Acre Fund,9,2014,1
,31,One Acre Fund,1,2015,1
,35,One Acre Fund,1,2015,1
,31,One Acre Fund,8,2014,1
,35,One Acre Fund,1,2015,1
,44,One Acre Fund,11,2014,1
,27,One Acre Fund,10,2014,1
,34,One Acre Fund,9,2014,1
,28,One Acre Fund,8,2014,1
,44,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,25,One Acre Fund,9,2014,1
,27,One Acre Fund,11,2014,1
,33,One Acre Fund,1,2015,1
,28,One Acre Fund,9,2014,1
,26,One Acre Fund,9,2014,1
,28,One Acre Fund,8,2014,1
,26,One Acre Fund,10,2014,1
,37,One Acre Fund,1,2015,1
,30,One Acre Fund,10,2014,1
,29,One Acre Fund,8,2014,1
,31,One Acre Fund,9,2014,1
,35,One Acre Fund,10,2014,1
,47,One Acre Fund,10,2014,1
,24,One Acre Fund,1,2015,1
,32,One Acre Fund,8,2014,1
,25,One Acre Fund,9,2014,1
,29,One Acre Fund,10,2014,1
,30,One Acre Fund,9,2014,1
,28,One Acre Fund,10,2014,1
,39,One Acre Fund,9,2014,1
,28,One Acre Fund,8,2014,1
,28,One Acre Fund,1,2015,1
,30,One Acre Fund,11,2014,1
,36,One Acre Fund,1,2015,1
,36,One Acre Fund,1,2015,1
,26,One Acre Fund,10,2014,1
,32,One Acre Fund,10,2014,1
,32,One Acre Fund,8,2014,1
,35,One Acre Fund,11,2014,1
,23,One Acre Fund,10,2014,1
,32,One Acre Fund,9,2014,1
,35,One Acre Fund,8,2014,1
,31,One Acre Fund,9,2014,1
,25,One Acre Fund,1,2015,1
,32,One Acre Fund,1,2015,1
,34,One Acre Fund,1,2015,1
,28,One Acre Fund,9,2014,1
,33,One Acre Fund,8,2014,1
,31,One Acre Fund,9,2014,1
,26,One Acre Fund,10,2014,1
,89,One Acre Fund,10,2014,1
,26,One Acre Fund,9,2014,1
,38,One Acre Fund,1,2015,1
,30,One Acre Fund,11,2014,1
,28,One Acre Fund,10,2014,1
,34,One Acre Fund,8,2014,1
,29,One Acre Fund,1,2015,1
,32,One Acre Fund,1,2015,1
,36,One Acre Fund,9,2014,1
,32,One Acre Fund,12,2014,1
,29,One Acre Fund,1,2015,1
,32,One Acre Fund,10,2014,1
,36,One Acre Fund,9,2014,1
,29,One Acre Fund,8,2014,1
,30,One Acre Fund,9,2014,1
,45,One Acre Fund,10,2014,1
,31,One Acre Fund,10,2014,1
,26,One Acre Fund,9,2014,1
,40,One Acre Fund,1,2015,1
,37,One Acre Fund,10,2014,1
,51,One Acre Fund,1,2015,1
,32,One Acre Fund,8,2014,1
,28,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,34,One Acre Fund,10,2014,1
,45,One Acre Fund,11,2014,1
,31,One Acre Fund,9,2014,1
,24,One Acre Fund,10,2014,1
,28,One Acre Fund,1,2015,1
,37,One Acre Fund,9,2014,1
,36,One Acre Fund,10,2014,1
,39,One Acre Fund,8,2014,1
,27,One Acre Fund,10,2014,1
,32,One Acre Fund,8,2014,1
,29,One Acre Fund,10,2014,1
,33,One Acre Fund,9,2014,1
,34,One Acre Fund,1,2015,1
,30,One Acre Fund,9,2014,1
,34,One Acre Fund,1,2015,1
,33,One Acre Fund,1,2015,1
,26,One Acre Fund,9,2014,1
,27,One Acre Fund,9,2014,1
,29,One Acre Fund,8,2014,1
,39,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,23,One Acre Fund,10,2014,1
,27,One Acre Fund,9,2014,1
,26,One Acre Fund,10,2014,1
,35,One Acre Fund,9,2014,1
,28,One Acre Fund,9,2014,1
,40,One Acre Fund,9,2014,1
,32,One Acre Fund,10,2014,1
,37,One Acre Fund,9,2014,1
,44,One Acre Fund,8,2014,1
,44,One Acre Fund,9,2014,1
,29,One Acre Fund,10,2014,1
,30,One Acre Fund,10,2014,1
,25,One Acre Fund,10,2014,1
,64,One Acre Fund,10,2014,1
,34,One Acre Fund,1,2015,1
,38,One Acre Fund,10,2014,1
,36,One Acre Fund,1,2015,1
,32,One Acre Fund,9,2014,1
,46,One Acre Fund,11,2014,1
,26,One Acre Fund,11,2014,1
,24,One Acre Fund,8,2014,1
,36,One Acre Fund,9,2014,1
,30,One Acre Fund,1,2015,1
