id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,27,One Acre Fund,11,2011,1,27-Jun-13
,27,One Acre Fund,11,2011,1,18-Jul-13
,22,One Acre Fund,11,2011,1,27-Jun-13
,22,One Acre Fund,12,2011,1,26-Jun-13
,20,One Acre Fund,12,2011,1,26-Jun-13
,29,One Acre Fund,12,2011,1,26-Jun-13
,26,One Acre Fund,12,2011,1,27-Jun-13
,29,One Acre Fund,12,2011,1,26-Jun-13
,23,One Acre Fund,11,2011,1,26-Jun-13
,34,One Acre Fund,11,2011,1,26-Jun-13
,28,One Acre Fund,11,2011,1,26-Jun-13
,21,One Acre Fund,11,2011,1,26-Jun-13
,23,One Acre Fund,11,2011,1,26-Jun-13
,24,One Acre Fund,11,2011,1,26-Jun-13
,30,One Acre Fund,12,2011,1,26-Jun-13
,23,One Acre Fund,12,2011,1,26-Jun-13
,31,One Acre Fund,11,2011,1,11-Jun-13
,15,One Acre Fund,11,2011,1,18-Jun-13
,21,One Acre Fund,11,2011,1,18-Jun-13
,30,One Acre Fund,11,2011,1,18-Jun-13
,21,One Acre Fund,11,2011,1,18-Jun-13
,22,One Acre Fund,11,2011,1,18-Jun-13
,22,One Acre Fund,11,2011,1,18-Jun-13
,20,One Acre Fund,11,2011,1,09-Jul-13
,20,One Acre Fund,11,2011,1,09-Jul-13
,23,One Acre Fund,12,2011,1,05-Jun-13
,22,One Acre Fund,11,2011,1,05-Jun-13
,30,One Acre Fund,12,2011,1,05-Jun-13
,37,One Acre Fund,11,2011,1,30may2013
,22,One Acre Fund,11,2011,1,28may2013
,29,One Acre Fund,11,2011,1,28may2013
,20,One Acre Fund,11,2011,1,28may2013
,27,One Acre Fund,11,2011,1,28may2013
,39,One Acre Fund,12,2011,1,06-Jul-13
,21,One Acre Fund,11,2011,1,04-Jun-13
,17,One Acre Fund,11,2011,1,29may2013
,25,One Acre Fund,11,2011,1,04-Jun-13
,23,One Acre Fund,11,2011,1,19-Sep-13
,19,One Acre Fund,12,2011,1,04-Jul-13
,31,One Acre Fund,11,2011,1,04-Jul-13
,25,One Acre Fund,11,2011,1,28-Jun-13
,30,One Acre Fund,11,2011,1,27-Jun-13
,29,One Acre Fund,11,2011,1,28-Jun-13
,33,One Acre Fund,11,2011,1,28-Jun-13
,34,One Acre Fund,11,2011,1,05-Jul-13
,23,One Acre Fund,11,2011,1,05-Jul-13
,34,One Acre Fund,11,2011,1,05-Jul-13
,28,One Acre Fund,11,2011,1,05-Jul-13
,21,One Acre Fund,11,2011,1,04-Jul-13
,25,One Acre Fund,12,2011,1,15may2013
,15,One Acre Fund,11,2011,1,08may2013
,25,One Acre Fund,12,2011,1,04-Jul-13
,41,One Acre Fund,11,2011,1,04-Jun-13
,24,One Acre Fund,12,2011,1,29-Jun-13
,15,One Acre Fund,11,2011,1,02-Jul-13
,21,One Acre Fund,12,2011,1,29-Jun-13
,26,One Acre Fund,12,2011,1,09-Jul-13
,15,One Acre Fund,11,2011,1,01-Jul-13
,29,One Acre Fund,11,2011,1,01-Jul-13
,27,One Acre Fund,11,2011,1,30may2013
,25,One Acre Fund,11,2011,1,20-Jun-13
,23,One Acre Fund,11,2011,1,20-Jun-13
,21,One Acre Fund,11,2011,1,20-Jun-13
,20,One Acre Fund,11,2011,1,22-Jun-13
,21,One Acre Fund,11,2011,1,22-Jun-13
,27,One Acre Fund,11,2011,1,24-Jun-13
,23,One Acre Fund,12,2011,1,24-Jun-13
,40,One Acre Fund,11,2011,1,21-Jun-13
,20,One Acre Fund,11,2011,1,24-Jun-13
,32,One Acre Fund,11,2011,1,24-Jun-13
,22,One Acre Fund,12,2011,1,24-Jun-13
,49,One Acre Fund,12,2011,1,13-Jul-13
,32,One Acre Fund,11,2011,1,28-Jun-13
,23,One Acre Fund,11,2011,1,21-Jun-13
,22,One Acre Fund,11,2011,1,29-Jun-13
,15,One Acre Fund,11,2011,1,14may2013
,16,One Acre Fund,11,2011,1,15may2013
,28,One Acre Fund,11,2011,1,17may2013
,19,One Acre Fund,11,2011,1,15may2013
,16,One Acre Fund,11,2011,1,16may2013
,21,One Acre Fund,11,2011,1,17may2013
,21,One Acre Fund,11,2011,1,08may2013
,27,One Acre Fund,11,2011,1,16may2013
,15,One Acre Fund,11,2011,1,16may2013
,31,One Acre Fund,11,2011,1,15may2013
,19,One Acre Fund,11,2011,1,17may2013
,18,One Acre Fund,11,2011,1,10may2013
,21,One Acre Fund,11,2011,1,15may2013
,39,One Acre Fund,11,2011,1,16may2013
,18,One Acre Fund,11,2011,1,09may2013
,40,One Acre Fund,11,2011,1,04-Jun-13
,31,One Acre Fund,11,2011,1,06-Jul-13
,24,One Acre Fund,11,2011,1,29-Jun-13
,21,One Acre Fund,11,2011,1,09may2013
,22,One Acre Fund,11,2011,1,07may2013
,28,One Acre Fund,11,2011,1,05-Jul-13
,25,One Acre Fund,11,2011,1,05-Jul-13
,25,One Acre Fund,11,2011,1,08-Jul-13
,18,One Acre Fund,11,2011,1,17-Jun-13
,46,One Acre Fund,11,2011,1,04-Jul-13
,44,One Acre Fund,11,2011,1,08-Jun-13
,29,One Acre Fund,12,2011,1,22-Jun-13
,23,One Acre Fund,11,2011,1,06-Jun-13
,28,One Acre Fund,12,2011,1,28may2013
,26,One Acre Fund,11,2011,1,05-Jun-13
,16,One Acre Fund,12,2011,1,13-Jul-13
,19,One Acre Fund,12,2011,1,13-Jul-13
,24,One Acre Fund,11,2011,1,22-Jun-13
,48,One Acre Fund,11,2011,1,22-Jun-13
,10,One Acre Fund,11,2011,1,29may2013
,20,One Acre Fund,11,2011,1,04-Jun-13
,20,One Acre Fund,12,2011,1,04-Jun-13
,22,One Acre Fund,12,2011,1,09-Jul-13
,21,One Acre Fund,11,2011,1,09-Jul-13
,27,One Acre Fund,12,2011,1,17-Sep-13
,20,One Acre Fund,12,2011,1,16-Sep-13
,20,One Acre Fund,12,2011,1,17-Sep-13
,17,One Acre Fund,11,2011,1,20-Sep-13
,16,One Acre Fund,11,2011,1,20-Sep-13
,19,One Acre Fund,11,2011,1,05-Jul-13
,19,One Acre Fund,11,2011,1,05-Jul-13
,30,One Acre Fund,11,2011,1,05-Jul-13
,39,One Acre Fund,11,2011,1,08-Jul-13
,23,One Acre Fund,11,2011,1,05-Jul-13
,18,One Acre Fund,11,2011,1,24-Jun-13
,26,One Acre Fund,11,2011,1,24-Jun-13
,26,One Acre Fund,11,2011,1,29-Jun-13
,26,One Acre Fund,11,2011,1,08-Jul-13
,30,One Acre Fund,11,2011,1,29-Jun-13
,21,One Acre Fund,12,2011,1,05-Jun-13
,28,One Acre Fund,11,2011,1,05-Jul-13
,16,One Acre Fund,11,2011,1,05-Jul-13
,19,One Acre Fund,11,2011,1,05-Jul-13
,17,One Acre Fund,11,2011,1,05-Jul-13
,15,One Acre Fund,11,2011,1,04-Jun-13
,21,One Acre Fund,11,2011,1,10may2013
,20,One Acre Fund,11,2011,1,15may2013
,18,One Acre Fund,11,2011,1,16may2013
,21,One Acre Fund,12,2011,1,28may2013
,21,One Acre Fund,11,2011,1,28may2013
,23,One Acre Fund,11,2011,1,25may2013
,31,One Acre Fund,11,2011,1,08-Jul-13
,16,One Acre Fund,11,2011,1,05-Jun-13
,17,One Acre Fund,11,2011,1,05-Jun-13
,20,One Acre Fund,11,2011,1,10may2013
,30,One Acre Fund,11,2011,1,13may2013
,30,One Acre Fund,11,2011,1,09may2013
,24,One Acre Fund,11,2011,1,15-Jun-13
,22,One Acre Fund,11,2011,1,15-Jun-13
,46,One Acre Fund,11,2011,1,28-Jun-13
,42,One Acre Fund,11,2011,1,17-Aug-13
,16,One Acre Fund,11,2011,1,24-Jun-13
,23,One Acre Fund,11,2011,1,11may2013
,37,One Acre Fund,11,2011,1,16may2013
,15,One Acre Fund,11,2011,1,15may2013
,22,One Acre Fund,11,2011,1,17-Jun-13
,22,One Acre Fund,11,2011,1,04-Jun-13
,25,One Acre Fund,11,2011,1,29-Jun-13
,25,One Acre Fund,11,2011,1,29-Jun-13
,24,One Acre Fund,10,2011,1,29-Jun-13
,29,One Acre Fund,11,2011,1,29-Jun-13
,24,One Acre Fund,11,2011,1,29-Jun-13
,17,One Acre Fund,11,2011,1,05-Jul-13
,27,One Acre Fund,11,2011,1,29-Jun-13
,24,One Acre Fund,11,2011,1,29-Jun-13
,19,One Acre Fund,11,2011,1,29-Jun-13
,25,One Acre Fund,11,2011,1,29-Jun-13
,21,One Acre Fund,11,2011,1,05-Jul-13
,32,One Acre Fund,11,2011,1,04-Jul-13
,30,One Acre Fund,11,2011,1,04-Jul-13
,35,One Acre Fund,11,2011,1,04-Jul-13
,27,One Acre Fund,11,2011,1,04-Jul-13
,16,One Acre Fund,11,2011,1,04-Jul-13
,28,One Acre Fund,11,2011,1,03-Jul-13
,37,One Acre Fund,11,2011,1,27may2013
,26,One Acre Fund,11,2011,1,28may2013
,30,One Acre Fund,11,2011,1,28may2013
,24,One Acre Fund,11,2011,1,10-Jun-13
,25,One Acre Fund,12,2011,1,28may2013
,28,One Acre Fund,11,2011,1,30may2013
,30,One Acre Fund,12,2011,1,28may2013
,11,One Acre Fund,12,2011,1,05-Jun-13
,18,One Acre Fund,11,2011,1,30may2013
,24,One Acre Fund,11,2011,1,05-Jun-13
,24,One Acre Fund,11,2011,1,30may2013
,28,One Acre Fund,11,2011,1,30may2013
,28,One Acre Fund,11,2011,1,05-Jun-13
,28,One Acre Fund,11,2011,1,22-Jun-13
,16,One Acre Fund,11,2011,1,30-Jul-13
,21,One Acre Fund,11,2011,1,04-Jun-13
,15,One Acre Fund,11,2011,1,29may2013
,20,One Acre Fund,12,2011,1,22-Jun-13
,20,One Acre Fund,12,2011,1,22-Jun-13
,32,One Acre Fund,12,2011,1,09-Jul-13
,21,One Acre Fund,11,2011,1,28-Jun-13
,26,One Acre Fund,12,2011,1,14may2013
,22,One Acre Fund,12,2011,1,23-Aug-13
,27,One Acre Fund,12,2011,1,14may2013
,18,One Acre Fund,11,2011,1,29-Jun-13
,15,One Acre Fund,11,2011,1,08-Jun-13
,19,One Acre Fund,11,2011,1,05-Jun-13
,23,One Acre Fund,11,2011,1,04-Jun-13
,16,One Acre Fund,11,2011,1,01-Jul-13
,33,One Acre Fund,11,2011,1,08-Jul-13
,45,One Acre Fund,11,2011,1,08-Jul-13
,18,One Acre Fund,11,2011,1,05-Jun-13
,27,One Acre Fund,11,2011,1,05-Jun-13
,24,One Acre Fund,11,2011,1,05-Jun-13
,22,One Acre Fund,11,2011,1,05-Aug-13
,34,One Acre Fund,11,2011,1,04-Jul-13
,24,One Acre Fund,11,2011,1,01-Jul-13
,36,One Acre Fund,11,2011,1,29-Jun-13
,35,One Acre Fund,11,2011,1,01-Jul-13
,25,One Acre Fund,11,2011,1,12-Jul-13
,29,One Acre Fund,11,2011,1,11-Jul-13
,22,One Acre Fund,11,2011,1,11-Jul-13
,23,One Acre Fund,11,2011,1,19-Jun-13
,21,One Acre Fund,11,2011,1,19-Jun-13
,29,One Acre Fund,11,2011,1,09-Jul-13
,25,One Acre Fund,11,2011,1,18-Jun-13
,21,One Acre Fund,11,2011,1,19-Jun-13
,29,One Acre Fund,12,2011,1,22-Jun-13
,45,One Acre Fund,12,2011,1,22-Jun-13
,20,One Acre Fund,12,2011,1,12-Jul-13
,21,One Acre Fund,12,2011,1,12-Jul-13
,24,One Acre Fund,11,2011,1,05-Jul-13
,42,One Acre Fund,11,2011,1,05-Jul-13
,12,One Acre Fund,11,2011,1,04-Jun-13
,18,One Acre Fund,11,2011,1,03-Jun-13
,19,One Acre Fund,11,2011,1,03-Jun-13
,15,One Acre Fund,11,2011,1,20-Sep-13
,22,One Acre Fund,11,2011,1,03-Jun-13
,23,One Acre Fund,12,2011,1,30may2013
,22,One Acre Fund,11,2011,1,30may2013
,25,One Acre Fund,11,2011,1,03-Jun-13
,20,One Acre Fund,11,2011,1,27may2013
,38,One Acre Fund,12,2011,1,12-Jul-13
,19,One Acre Fund,12,2011,1,12-Jul-13
,29,One Acre Fund,11,2011,1,10-Jul-13
,30,One Acre Fund,11,2011,1,10-Jul-13
,27,One Acre Fund,11,2011,1,11-Jul-13
,27,One Acre Fund,11,2011,1,16-Jul-13
,25,One Acre Fund,12,2011,1,10-Jul-13
,21,One Acre Fund,12,2011,1,10-Jul-13
,36,One Acre Fund,12,2011,1,10-Jul-13
,28,One Acre Fund,12,2011,1,10-Jul-13
,27,One Acre Fund,11,2011,1,09-Jul-13
,49,One Acre Fund,12,2011,1,05-Jul-13
,29,One Acre Fund,11,2011,1,05-Jul-13
,19,One Acre Fund,11,2011,1,05-Jul-13
,19,One Acre Fund,11,2011,1,19-Jun-13
,26,One Acre Fund,11,2011,1,21-Jun-13
,20,One Acre Fund,11,2011,1,21-Jun-13
,20,One Acre Fund,11,2011,1,19-Jun-13
,18,One Acre Fund,11,2011,1,19-Jun-13
,16,One Acre Fund,11,2011,1,19-Jun-13
,20,One Acre Fund,11,2011,1,14may2013
,17,One Acre Fund,11,2011,1,19-Jun-13
,18,One Acre Fund,10,2011,1,21-Jun-13
,22,One Acre Fund,10,2011,1,21-Jun-13
,27,One Acre Fund,10,2011,1,16may2013
,23,One Acre Fund,10,2011,1,20-Jun-13
,16,One Acre Fund,10,2011,1,20-Jun-13
,21,One Acre Fund,11,2011,1,21-Jun-13
,34,One Acre Fund,11,2011,1,25-Jun-13
,31,One Acre Fund,12,2011,1,13-Jul-13
,28,One Acre Fund,11,2011,1,16-Jul-13
,21,One Acre Fund,12,2011,1,20-Jun-13
,15,One Acre Fund,12,2011,1,20-Jun-13
,22,One Acre Fund,12,2011,1,20-Jun-13
,14,One Acre Fund,11,2011,1,20-Jun-13
,21,One Acre Fund,11,2011,1,24-Jun-13
,23,One Acre Fund,11,2011,1,24-Jun-13
,21,One Acre Fund,11,2011,1,24-Jun-13
,16,One Acre Fund,11,2011,1,24-Jun-13
,42,One Acre Fund,11,2011,1,19-Jun-13
,15,One Acre Fund,11,2011,1,06-Jul-13
,32,One Acre Fund,11,2011,1,19-Jun-13
,23,One Acre Fund,11,2011,1,05-Jun-13
,17,One Acre Fund,11,2011,1,05-Jun-13
,26,One Acre Fund,11,2011,1,05-Jun-13
,23,One Acre Fund,11,2011,1,11-Jul-13
,30,One Acre Fund,11,2011,1,10-Jul-13
,31,One Acre Fund,12,2011,1,16-Jul-13
,20,One Acre Fund,11,2011,1,05-Jul-13
,27,One Acre Fund,11,2011,1,05-Jul-13
,19,One Acre Fund,11,2011,1,13-Jul-13
,21,One Acre Fund,12,2011,1,29-Jun-13
,17,One Acre Fund,12,2011,1,29-Jun-13
,23,One Acre Fund,12,2011,1,29may2013
,26,One Acre Fund,12,2011,1,04-Jun-13
,19,One Acre Fund,2,2012,1,17-Jul-13
,19,One Acre Fund,2,2012,1,29-Jul-13
,19,One Acre Fund,2,2012,1,20-Jun-13
,18,One Acre Fund,2,2012,1,20-Jun-13
,16,One Acre Fund,2,2012,1,04-Jun-13
,19,One Acre Fund,2,2012,1,04-Jun-13
,28,One Acre Fund,2,2012,1,29-Jun-13
,25,One Acre Fund,2,2012,1,29-Jun-13
,24,One Acre Fund,2,2012,1,29-Jun-13
,25,One Acre Fund,2,2012,1,18-Jun-13
,33,One Acre Fund,2,2012,1,08-Jul-13
,19,One Acre Fund,2,2012,1,13may2013
,18,One Acre Fund,2,2012,1,13may2013
,19,One Acre Fund,2,2012,1,14may2013
,22,One Acre Fund,2,2012,1,07may2013
,20,One Acre Fund,2,2012,1,10-Jun-13
,38,One Acre Fund,2,2012,1,16-Jul-13
,17,One Acre Fund,2,2012,1,19-Jun-13
,31,One Acre Fund,2,2012,1,13-Jul-13
,27,One Acre Fund,2,2012,1,27-Jun-13
,21,One Acre Fund,2,2012,1,27-Jun-13
,18,One Acre Fund,2,2012,1,27-Jun-13
,24,One Acre Fund,2,2012,1,06-Jul-13
,27,One Acre Fund,3,2012,1,13-Jul-13
,29,One Acre Fund,3,2012,1,24-Jun-13
,36,One Acre Fund,2,2012,1,13-Jul-13
,30,One Acre Fund,2,2012,1,27-Jun-13
,21,One Acre Fund,2,2012,1,25-Jun-13
,33,One Acre Fund,2,2012,1,24-Jun-13
,27,One Acre Fund,2,2012,1,24-Jun-13
,23,One Acre Fund,2,2012,1,22-Jun-13
,13,One Acre Fund,2,2012,1,21-Jun-13
,38,One Acre Fund,2,2012,1,22-Jun-13
,23,One Acre Fund,2,2012,1,22-Jun-13
,33,One Acre Fund,2,2012,1,10-Jul-13
,17,One Acre Fund,2,2012,1,20-Jun-13
,17,One Acre Fund,2,2012,1,10-Jul-13
,28,One Acre Fund,2,2012,1,15-Jul-13
,18,One Acre Fund,2,2012,1,15-Jul-13
,25,One Acre Fund,2,2012,1,11-Jul-13
,25,One Acre Fund,3,2012,1,29-Jun-13
,21,One Acre Fund,2,2012,1,31-Jul-13
,21,One Acre Fund,2,2012,1,09-Jul-13
,27,One Acre Fund,2,2012,1,10may2013
,23,One Acre Fund,2,2012,1,09may2013
,18,One Acre Fund,3,2012,1,09may2013
,31,One Acre Fund,2,2012,1,15-Jul-13
,28,One Acre Fund,2,2012,1,15-Jul-13
,20,One Acre Fund,2,2012,1,10-Jul-13
,16,One Acre Fund,2,2012,1,05-Jun-13
,15,One Acre Fund,2,2012,1,30may2013
,49,One Acre Fund,2,2012,1,08-Jul-13
,49,One Acre Fund,2,2012,1,08-Jul-13
,21,One Acre Fund,2,2012,1,13may2013
,22,One Acre Fund,2,2012,1,16may2013
,29,One Acre Fund,3,2012,1,17-Jun-13
,21,One Acre Fund,2,2012,1,21-Jun-13
,26,One Acre Fund,2,2012,1,15-Jul-13
,19,One Acre Fund,3,2012,1,15-Jul-13
,15,One Acre Fund,2,2012,1,03-Jun-13
,22,One Acre Fund,2,2012,1,04-Jun-13
,21,One Acre Fund,2,2012,1,04-Jun-13
,24,One Acre Fund,2,2012,1,06may2013
,21,One Acre Fund,2,2012,1,18-Sep-13
,19,One Acre Fund,2,2012,1,18-Sep-13
,24,One Acre Fund,2,2012,1,18-Sep-13
,23,One Acre Fund,2,2012,1,01-Jul-13
,25,One Acre Fund,2,2012,1,01-Jul-13
,20,One Acre Fund,2,2012,1,01-Jul-13
,26,One Acre Fund,2,2012,1,06-Jul-13
,43,One Acre Fund,2,2012,1,05-Jul-13
,23,One Acre Fund,2,2012,1,22-Jul-13
,31,One Acre Fund,2,2012,1,05-Jul-13
,35,One Acre Fund,2,2012,1,05-Jul-13
,31,One Acre Fund,2,2012,1,05-Jul-13
,21,One Acre Fund,2,2012,1,01-Jul-13
,23,One Acre Fund,2,2012,1,17-Jun-13
,18,One Acre Fund,2,2012,1,01-Jul-13
,37,One Acre Fund,2,2012,1,01-Jul-13
,21,One Acre Fund,2,2012,1,08-Jun-13
,21,One Acre Fund,2,2012,1,15may2013
,35,One Acre Fund,2,2012,1,07may2013
,23,One Acre Fund,11,2011,1,09may2013
,30,One Acre Fund,10,2011,1,19-Jun-13
,20,One Acre Fund,10,2011,1,10may2013
,20,One Acre Fund,10,2011,1,06-Jun-13
,17,One Acre Fund,10,2011,1,06-Jun-13
,20,One Acre Fund,10,2011,1,21-Jun-13
,26,One Acre Fund,10,2011,1,18-Jun-13
,23,One Acre Fund,10,2011,1,24-Jun-13
,21,One Acre Fund,10,2011,1,16may2013
,30,One Acre Fund,11,2011,1,29may2013
,19,One Acre Fund,12,2011,1,16-Jul-13
,29,One Acre Fund,11,2011,1,26-Jun-13
,31,One Acre Fund,11,2011,1,15-Jul-13
,22,One Acre Fund,11,2011,1,15-Jul-13
,39,One Acre Fund,11,2011,1,12-Jul-13
,21,One Acre Fund,12,2011,1,31-Jul-13
,24,One Acre Fund,11,2011,1,16-Jul-13
,32,One Acre Fund,11,2011,1,08-Jul-13
,20,One Acre Fund,11,2011,1,09may2013
,38,One Acre Fund,11,2011,1,07may2013
,16,One Acre Fund,11,2011,1,05-Jun-13
,21,One Acre Fund,12,2011,1,05-Jun-13
,17,One Acre Fund,11,2011,1,20-Jun-13
,21,One Acre Fund,11,2011,1,15may2013
,23,One Acre Fund,11,2011,1,10may2013
,23,One Acre Fund,11,2011,1,29may2013
,17,One Acre Fund,10,2011,1,21-Jun-13
,28,One Acre Fund,11,2011,1,19-Jun-13
,20,One Acre Fund,11,2011,1,19-Jun-13
,30,One Acre Fund,10,2011,1,09-Jul-13
,36,One Acre Fund,10,2011,1,21-Jun-13
,29,One Acre Fund,11,2011,1,28-Jun-13
,27,One Acre Fund,11,2011,1,06-Jul-13
,32,One Acre Fund,11,2011,1,06-Jul-13
,22,One Acre Fund,11,2011,1,04-Jun-13
,21,One Acre Fund,11,2011,1,30may2013
,22,One Acre Fund,11,2011,1,24-Jun-13
,20,One Acre Fund,11,2011,1,24-Jun-13
,20,One Acre Fund,11,2011,1,04-Jun-13
,25,One Acre Fund,12,2011,1,03-Jun-13
,16,One Acre Fund,11,2011,1,20-Jun-13
,20,One Acre Fund,11,2011,1,29-Jul-13
,23,One Acre Fund,11,2011,1,13may2013
,22,One Acre Fund,11,2011,1,08may2013
,33,One Acre Fund,11,2011,1,09-Jul-13
,24,One Acre Fund,12,2011,1,29-Jun-13
,30,One Acre Fund,11,2011,1,05-Jul-13
,21,One Acre Fund,12,2011,1,15may2013
,26,One Acre Fund,11,2011,1,24-Jun-13
,36,One Acre Fund,11,2011,1,22-Jun-13
,20,One Acre Fund,12,2011,1,10-Jul-13
,18,One Acre Fund,11,2011,1,15may2013
,40,One Acre Fund,11,2011,1,10-Jul-13
,28,One Acre Fund,11,2011,1,14may2013
,30,One Acre Fund,11,2011,1,14may2013
,23,One Acre Fund,12,2011,1,15-Jul-13
,21,One Acre Fund,12,2011,1,15-Jul-13
,38,One Acre Fund,12,2011,1,15-Jul-13
,21,One Acre Fund,11,2011,1,06may2013
,33,One Acre Fund,12,2011,1,09may2013
,19,One Acre Fund,12,2011,1,29-Jun-13
,18,One Acre Fund,12,2011,1,29-Jun-13
,22,One Acre Fund,11,2011,1,04-Jul-13
,15,One Acre Fund,11,2011,1,15may2013
,16,One Acre Fund,11,2011,1,08may2013
,21,One Acre Fund,12,2011,1,05-Aug-13
,16,One Acre Fund,11,2011,1,17may2013
,20,One Acre Fund,12,2011,1,25-Jun-13
,26,One Acre Fund,11,2011,1,13-Jul-13
,30,One Acre Fund,11,2011,1,09-Jul-13
,26,One Acre Fund,11,2011,1,18-Jul-13
,14,One Acre Fund,11,2011,1,04-Jul-13
,17,One Acre Fund,12,2011,1,26-Jun-13
,31,One Acre Fund,12,2011,1,26-Jun-13
,18,One Acre Fund,11,2011,1,26-Jun-13
,25,One Acre Fund,10,2011,1,31may2013
,15,One Acre Fund,10,2011,1,31may2013
,21,One Acre Fund,11,2011,1,31may2013
,22,One Acre Fund,12,2011,1,30may2013
,26,One Acre Fund,11,2011,1,17-Jul-13
,30,One Acre Fund,11,2011,1,17-Jul-13
,19,One Acre Fund,11,2011,1,31may2013
,21,One Acre Fund,11,2011,1,29may2013
,18,One Acre Fund,11,2011,1,28may2013
,22,One Acre Fund,11,2011,1,13may2013
,25,One Acre Fund,12,2011,1,17-Jul-13
,27,One Acre Fund,11,2011,1,28-Jun-13
,24,One Acre Fund,12,2011,1,17-Jul-13
,38,One Acre Fund,11,2011,1,11-Jul-13
,45,One Acre Fund,11,2011,1,09may2013
,21,One Acre Fund,12,2011,1,05-Jun-13
,20,One Acre Fund,11,2011,1,26-Jun-13
,31,One Acre Fund,11,2011,1,09-Jul-13
,19,One Acre Fund,12,2011,1,10-Jul-13
,27,One Acre Fund,11,2011,1,09-Jul-13
,25,One Acre Fund,12,2011,1,20-Jun-13
,33,One Acre Fund,11,2011,1,10-Jul-13
,18,One Acre Fund,11,2011,1,28may2013
,17,One Acre Fund,11,2011,1,01-Jul-13
,26,One Acre Fund,11,2011,1,29-Jun-13
,27,One Acre Fund,11,2011,1,06-Jun-13
,23,One Acre Fund,11,2011,1,28may2013
,28,One Acre Fund,12,2011,1,29-Jun-13
,34,One Acre Fund,11,2011,1,21-Jun-13
,21,One Acre Fund,11,2011,1,01-Jul-13
,22,One Acre Fund,11,2011,1,30may2013
,22,One Acre Fund,11,2011,1,06-Jul-13
,17,One Acre Fund,11,2011,1,29-Jun-13
,36,One Acre Fund,12,2011,1,03-Jun-13
,29,One Acre Fund,11,2011,1,04-Jun-13
,30,One Acre Fund,11,2011,1,04-Jul-13
,20,One Acre Fund,11,2011,1,31may2013
,21,One Acre Fund,11,2011,1,08may2013
,18,One Acre Fund,11,2011,1,16may2013
,21,One Acre Fund,11,2011,1,06-Jul-13
,17,One Acre Fund,12,2011,1,27may2013
,30,One Acre Fund,12,2011,1,22-Jun-13
,18,One Acre Fund,11,2011,1,22-Jun-13
,17,One Acre Fund,11,2011,1,24-Jun-13
,31,One Acre Fund,11,2011,1,15-Jul-13
,35,One Acre Fund,11,2011,1,15-Jul-13
,15,One Acre Fund,11,2011,1,11-Jul-13
,17,One Acre Fund,11,2011,1,05-Jun-13
,26,One Acre Fund,12,2011,1,05-Jun-13
,22,One Acre Fund,11,2011,1,05-Jun-13
,30,One Acre Fund,11,2011,1,15-Jul-13
,22,One Acre Fund,11,2011,1,04-Jun-13
,18,One Acre Fund,11,2011,1,16-Jul-13
,30,One Acre Fund,11,2011,1,11-Jul-13
,26,One Acre Fund,12,2011,1,10-Jul-13
,27,One Acre Fund,12,2011,1,10-Jul-13
,19,One Acre Fund,11,2011,1,16-Jul-13
,19,One Acre Fund,11,2011,1,31-Jul-13
,30,One Acre Fund,11,2011,1,11-Jul-13
,28,One Acre Fund,11,2011,1,15-Jul-13
,30,One Acre Fund,12,2011,1,31-Jul-13
,19,One Acre Fund,11,2011,1,16may2013
,11,One Acre Fund,11,2011,1,24-Jun-13
,20,One Acre Fund,12,2011,1,15-Jul-13
,17,One Acre Fund,11,2011,1,08may2013
,16,One Acre Fund,11,2011,1,10may2013
,18,One Acre Fund,12,2011,1,15-Jul-13
,23,One Acre Fund,11,2011,1,31-Jul-13
,26,One Acre Fund,11,2011,1,31-Jul-13
,21,One Acre Fund,11,2011,1,26-Jun-13
,18,One Acre Fund,11,2011,1,11-Jul-13
,32,One Acre Fund,12,2011,1,11-Jul-13
,44,One Acre Fund,11,2011,1,17may2013
,44,One Acre Fund,11,2011,1,13-Jul-13
,28,One Acre Fund,11,2011,1,18-Jun-13
,28,One Acre Fund,11,2011,1,29-Jun-13
,17,One Acre Fund,11,2011,1,21-Jun-13
,26,One Acre Fund,11,2011,1,26-Jun-13
,22,One Acre Fund,11,2011,1,31may2013
,22,One Acre Fund,11,2011,1,29may2013
,20,One Acre Fund,11,2011,1,29may2013
,15,One Acre Fund,11,2011,1,29may2013
,15,One Acre Fund,11,2011,1,08may2013
,35,One Acre Fund,12,2011,1,04-Jul-13
,30,One Acre Fund,11,2011,1,10-Jul-13
,67,One Acre Fund,11,2011,1,29-Jun-13
,18,One Acre Fund,11,2011,1,28-Jun-13
,23,One Acre Fund,11,2011,1,09-Jul-13
,27,One Acre Fund,12,2011,1,10-Jul-13
,20,One Acre Fund,12,2011,1,04-Jun-13
,23,One Acre Fund,11,2011,1,04-Jun-13
,19,One Acre Fund,12,2011,1,12-Jul-13
,30,One Acre Fund,12,2011,1,17-Jul-13
,44,One Acre Fund,11,2011,1,27may2013
,36,One Acre Fund,11,2011,1,09may2013
,25,One Acre Fund,11,2011,1,12-Jul-13
,22,One Acre Fund,11,2011,1,16-Jul-13
,24,One Acre Fund,11,2011,1,11-Jul-13
,20,One Acre Fund,11,2011,1,19-Jun-13
,21,One Acre Fund,11,2011,1,09-Jul-13
,15,One Acre Fund,11,2011,1,03-Jun-13
,22,One Acre Fund,11,2011,1,03-Jun-13
